"","id","year","sample_site","tag_code","sex","cwt_age","post_orbital_hypural_poh","scale_age","adipose_fin_clip"
"1","KIT1",1991,"Kitimat R",NA,"M",2,"337",NA,NA
"2","KIT2",1991,"Kitimat R",NA,"M",2,"336",NA,NA
"3","KIT3",1991,"Kitimat R",NA,"M",2,"365",NA,NA
"4","KIT4",1991,"Kitimat R",NA,"M",3,"527",NA,NA
"5","KIT5",1991,"Kitimat R",NA,"M",3,"579",NA,NA
"6","KIT6",1991,"Kitimat R",NA,"M",3,"566",NA,NA
"7","KIT7",1991,"Kitimat R",NA,"M",3,"494",NA,NA
"8","KIT8",1991,"Kitimat R",NA,"M",3,"511",NA,NA
"9","KIT9",1991,"Kitimat R",NA,"M",3,"484",NA,NA
"10","KIT10",1991,"Kitimat R",NA,"M",3,"477",NA,NA
"11","KIT11",1991,"Kitimat R",NA,"M",3,"553",NA,NA
"12","KIT12",1991,"Kitimat R",NA,"M",3,"548",NA,NA
"13","KIT13",1991,"Kitimat R",NA,"M",3,"545",NA,NA
"14","KIT14",1991,"Kitimat R",NA,"M",3,"554",NA,NA
"15","KIT15",1991,"Kitimat R",NA,"M",3,"528",NA,NA
"16","KIT16",1991,"Kitimat R",NA,"M",3,"555",NA,NA
"17","KIT17",1991,"Kitimat R",NA,"M",3,"647",NA,NA
"18","KIT18",1991,"Kitimat R",NA,"M",3,"569",NA,NA
"19","KIT19",1991,"Kitimat R",NA,"M",3,"515",NA,NA
"20","KIT20",1991,"Kitimat R",NA,"M",3,"594",NA,NA
"21","KIT21",1991,"Kitimat R",NA,"F",4,"732",NA,NA
"22","KIT22",1991,"Kitimat R",NA,"F",4,"698",NA,NA
"23","KIT23",1991,"Kitimat R",NA,"F",4,"786",NA,NA
"24","KIT24",1991,"Kitimat R",NA,"F",4,"754",NA,NA
"25","KIT25",1991,"Kitimat R",NA,"F",4,"779",NA,NA
"26","KIT26",1991,"Kitimat R",NA,"F",4,"778",NA,NA
"27","KIT27",1991,"Kitimat R",NA,"F",4,"709",NA,NA
"28","KIT28",1991,"Kitimat R",NA,"M",4,"717",NA,NA
"29","KIT29",1991,"Kitimat R",NA,"M",4,"742",NA,NA
"30","KIT30",1991,"Kitimat R",NA,"F",5,"866",NA,NA
"31","KIT31",1991,"Kitimat R",NA,"F",5,"824",NA,NA
"32","KIT32",1991,"Kitimat R",NA,"F",5,"788",NA,NA
"33","KIT33",1991,"Kitimat R",NA,"F",5,"824",NA,NA
"34","KIT34",1991,"Kitimat R",NA,"F",5,"855",NA,NA
"35","KIT35",1991,"Kitimat R",NA,"F",5,"806",NA,NA
"36","KIT36",1991,"Kitimat R",NA,"F",5,"868",NA,NA
"37","KIT37",1991,"Kitimat R",NA,"F",5,"785",NA,NA
"38","KIT38",1991,"Kitimat R",NA,"F",5,"848",NA,NA
"39","KIT39",1991,"Kitimat R",NA,"F",5,"758",NA,NA
"40","KIT40",1991,"Kitimat R",NA,"F",5,"741",NA,NA
"41","KIT41",1991,"Kitimat R",NA,"F",5,"831",NA,NA
"42","KIT42",1991,"Kitimat R",NA,"F",5,"803",NA,NA
"43","KIT43",1991,"Hirsch",NA,"F",5,"840",NA,NA
"44","KIT44",1991,"Hirsch",NA,"F",5,"812",NA,NA
"45","KIT45",1991,"Hirsch",NA,"F",5,"778",NA,NA
"46","KIT46",1991,"Hirsch",NA,"F",5,"800",NA,NA
"47","KIT47",1991,"Hirsch",NA,"F",5,"840",NA,NA
"48","KIT48",1991,"Hirsch",NA,"F",5,"770",NA,NA
"49","KIT49",1991,"Hirsch",NA,"F",5,"750",NA,NA
"50","KIT50",1991,"Hirsch",NA,"F",5,"850",NA,NA
"51","KIT51",1991,"Hirsch",NA,"F",5,"830",NA,NA
"52","KIT52",1991,"Hirsch",NA,"F",5,"830",NA,NA
"53","KIT53",1991,"Hirsch",NA,"F",5,"880",NA,NA
"54","KIT54",1991,"Hirsch",NA,"F",5,"840",NA,NA
"55","KIT55",1991,"Hirsch",NA,"F",5,"760",NA,NA
"56","KIT56",1991,"Hirsch",NA,"F",5,"820",NA,NA
"57","KIT57",1991,"Hirsch",NA,"F",5,"820",NA,NA
"58","KIT58",1991,"Kitimat R",NA,"M",5,"812",NA,NA
"59","KIT59",1991,"Kitimat R",NA,"M",5,"921",NA,NA
"60","KIT60",1991,"Kitimat R",NA,"M",5,"874",NA,NA
"61","KIT61",1991,"Kitimat R",NA,"M",5,"914",NA,NA
"62","KIT62",1991,"Kitimat R",NA,"M",5,"874",NA,NA
"63","KIT63",1991,"Kitimat R",NA,"M",5,"845",NA,NA
"64","KIT64",1991,"Kitimat R",NA,"M",5,"769",NA,NA
"65","KIT65",1991,"Kitimat R",NA,"M",5,"809",NA,NA
"66","KIT66",1991,"Kitimat R",NA,"M",5,"668",NA,NA
"67","KIT67",1991,"Kitimat R",NA,"F",6,"713",NA,NA
"68","KIT68",1992,"Hirsch",NA,"M",2,"370",NA,NA
"69","KIT69",1992,"Hirsch",NA,"M",2,"315",NA,NA
"70","KIT70",1992,"Hirsch",NA,"M",2,"372",NA,NA
"71","KIT71",1992,"Kitimat R",NA,"M",3,"561",NA,NA
"72","KIT72",1992,"Kitimat R",NA,"M",3,"563",NA,NA
"73","KIT73",1992,"Kitimat R",NA,"M",3,"554",NA,NA
"74","KIT74",1992,"Kitimat R",NA,"M",3,"540",NA,NA
"75","KIT75",1992,"Kitimat R",NA,"M",3,"448",NA,NA
"76","KIT76",1992,"Kitimat R",NA,"M",3,"499",NA,NA
"77","KIT77",1992,"Hirsch",NA,"M",3,"590",NA,NA
"78","KIT78",1992,"Hirsch",NA,"M",3,"520",NA,NA
"79","KIT79",1992,"Hirsch",NA,"M",3,"540",NA,NA
"80","KIT80",1992,"Hirsch",NA,"M",3,"554",NA,NA
"81","KIT81",1992,"Hirsch",NA,"M",3,"561",NA,NA
"82","KIT82",1992,"Hirsch",NA,"M",3,"522",NA,NA
"83","KIT83",1992,"Hirsch",NA,"M",3,"530",NA,NA
"84","KIT84",1992,"Hirsch",NA,"M",3,"600",NA,NA
"85","KIT85",1992,"Hirsch",NA,"M",3,"482",NA,NA
"86","KIT86",1992,"Hirsch",NA,"M",3,"550",NA,NA
"87","KIT87",1992,"Hirsch",NA,"M",3,"520",NA,NA
"88","KIT88",1992,"Kitimat R",NA,"F",4,"748",NA,NA
"89","KIT89",1992,"Kitimat R",NA,"F",4,"755",NA,NA
"90","KIT90",1992,"Kitimat R",NA,"F",4,"740",NA,NA
"91","KIT91",1992,"Kitimat R",NA,"F",4,"782",NA,NA
"92","KIT92",1992,"Kitimat R",NA,"F",4,"696",NA,NA
"93","KIT93",1992,"Kitimat R",NA,"F",4,"800",NA,NA
"94","KIT94",1992,"Kitimat R",NA,"F",4,"735",NA,NA
"95","KIT95",1992,"Hirsch",NA,"F",4,"715",NA,NA
"96","KIT96",1992,"Hirsch",NA,"F",4,"700",NA,NA
"97","KIT97",1992,"Hirsch",NA,"F",4,"625",NA,NA
"98","KIT98",1992,"Hirsch",NA,"F",4,"720",NA,NA
"99","KIT99",1992,"Kitimat R",NA,"M",4,"637",NA,NA
"100","KIT100",1992,"Kitimat R",NA,"M",4,"741",NA,NA
